p	cells	DoFs	sqrt_dof	one_sqrt_dof	l2_residual	linf_residual	lift	drag	lift_error
0	140	560	23.66	4.23E-02	0	0	0.192021083	2.39E-02	9.45E-02
0	560	2240	47.33	2.11E-02	0	0	0.1824729247	5.03E-02	1.04E-01
0	2240	8960	94.66	1.06E-02	0	0	0.1912435051	5.60E-02	9.53E-02
0	8960	35840	189.31	5.28E-03	0	0	0.2103043006	4.17E-02	7.62E-02
0	36544	146176	382.33	2.62E-03	6.47E-16	5.68E-13	0.231198595	2.60E-02	5.53E-02
1	140	2240	47.33	2.11E-02	0	0	0.2534282518	3.44E-02	3.31E-02
1	560	8960	94.66	1.06E-02	0	0	0.2634687874	1.31E-02	2.31E-02
1	2240	35840	189.31	5.28E-03	0	0	0.2766264406	3.55E-03	9.90E-03
1	8960	143360	378.63	2.64E-03	0	0	0.2832211828	7.78E-04	3.30E-03
2	140	5040	70.99	1.41E-02	0	0	0.2752029564	1.12E-02	1.13E-02
2	560	20160	141.99	7.04E-03	0	0	0.2830503397	2.54E-03	3.47E-03
2	2240	80640	283.97	3.52E-03	0	0	0.2856454718	4.80E-04	8.78E-04
2	8960	322560	567.94	1.76E-03	0	0	0.2863739302	9.38E-05	1.50E-04
3	140	8960	94.66	1.06E-02	0	0	0.281943161	3.85E-03	4.58E-03
3	560	35840	189.31	5.28E-03	0	0	0.2860462341	6.66E-04	4.77E-04
3	2240	143360	378.63	2.64E-03	0	0	0.2864795837	1.08E-04	4.41E-05
3	8960	573440	757.26	1.32E-03	0	0	0.2865032739	1.27E-05	2.04E-05
4	140	14000	118.32	8.45E-03	1.24E-15	2.24E-12	0.2848520933	1.40E-03	1.67E-03
4	560	56000	236.64	4.23E-03	1.15E-14	1.17E-12	0.2864399351	2.04E-04	8.37E-05
4	2240	224000	473.29	2.11E-03	1.07E-14	7.19E-13	0.2865136558	2.22E-05	1.00E-05
4	8960	896000	946.57	1.06E-03	0	0	0.2865136558	2.22E-05	1.00E-05
