p	cells	DoFs	sqrt_dof	one_sqrt_dof	l2_residual	linf_residual	lift	drag	lift_error	drag_error
0	140	560	23.66	4.23E-02	7.97E-16	7.62E-12	9.87E-02	2.97E-02	2.54E-01	6.96E-03
0	560	2240	47.33	2.11E-02	3.94E-16	2.73E-12	1.15E-01	7.39E-02	2.38E-01	5.12E-02
0	2240	8960	94.66	1.06E-02	1.77E-16	1.48E-12	1.42E-01	7.77E-02	2.10E-01	5.49E-02
0	8960	35840	189.31	5.28E-03	3.66E-16	4.26E-13	1.82E-01	6.38E-02	1.71E-01	4.11E-02
1	140	2240	47.33	2.11E-02	2.57E-16	9.91E-13	2.31E-01	5.70E-02	1.22E-01	3.43E-02
1	560	8960	94.66	1.06E-02	9.99E-17	9.76E-13	2.89E-01	3.44E-02	6.38E-02	1.17E-02
1	2240	35840	189.31	5.28E-03	7.97E-17	3.61E-13	3.20E-01	2.47E-02	3.29E-02	1.99E-03
1	8960	143360	378.63	2.64E-03	5.32E-16	5.39E-13	3.38E-01	2.27E-02	1.47E-02	7.96E-06
2	140	5040	70.99	1.41E-02	3.85E-16	1.39E-12	2.43E-01	3.43E-02	1.10E-01	1.16E-02
2	560	20160	141.99	7.04E-03	5.39E-16	4.48E-13	3.12E-01	2.34E-02	4.14E-02	6.11E-04
2	2240	80640	283.97	3.52E-03	1.75E-16	1.89E-13	3.55E-01	2.32E-02	1.91E-03	5.01E-04
2	8960	322560	567.94	1.76E-03	4.70E-17	1.51E-13	3.50E-01	2.26E-02	2.91E-03	1.39E-04
3	140	8960	94.66	1.06E-02	2.62E-16	4.49E-13	1.92E-01	3.47E-02	1.60E-01	1.20E-02
3	560	35840	189.31	5.28E-03	2.79E-16	2.50E-13	3.25E-01	2.23E-02	2.79E-02	4.73E-04
3	2240	143360	378.63	2.64E-03	6.84E-17	1.54E-13	3.52E-01	2.28E-02	5.86E-04	1.28E-05
